,course_organization,course_Certificate_type,course_rating,course_students_enrolled_modified,course_difficulty_modified
294,Macquarie University,COURSE,4.9,7.0,1.0
295,Macquarie University,COURSE,4.8,3.0,1.0
296,Duke University,SPECIALIZATION,4.6,49.0,0.0
297,University of Colorado Boulder,SPECIALIZATION,4.8,5.0,0.0
298,University of Colorado Boulder,COURSE,4.8,5.0,0.0
299,Johns Hopkins University,SPECIALIZATION,4.5,17.0,0.0
300,Pontificia Universidad Católica de Chile,COURSE,4.8,2.0,0.0
301,The Museum of Modern Art,COURSE,4.8,18.0,0.0
302,"University of California, Santa Cruz",COURSE,4.8,1.0,0.0
303,Duke University,COURSE,4.8,9.0,0.0
304,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,1.0,0.0
305,University of Pennsylvania,COURSE,4.7,1.0,0.0
306,University of Pennsylvania,SPECIALIZATION,4.5,26.0,0.0
307,Rice University,COURSE,4.8,6.0,0.0
308,Emory University,COURSE,4.4,1.0,1.0
309,University of Virginia,COURSE,4.8,6.0,0.0
310,University of Pennsylvania,COURSE,4.5,1.0,0.0
311,Columbia University,COURSE,4.6,10.0,0.5
312,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,7.0,1.0
313,Yale University,COURSE,4.8,47.0,0.0
314,Indian School of Business,SPECIALIZATION,4.5,6.0,0.0
315,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,1.0,1.0
316,University of Michigan,SPECIALIZATION,4.7,6.0,0.0
317,Università Bocconi,COURSE,4.8,2.0,0.5
318,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,3.0,1.0
319,Universidad Nacional Autónoma de México,COURSE,4.8,31.0,0.5
320,University of Michigan,COURSE,4.7,3.0,0.0
321,University of Pennsylvania,SPECIALIZATION,4.6,2.0,0.0
322,Yonsei University,COURSE,4.9,40.0,0.0
323,Università Bocconi,COURSE,4.8,5.0,0.5
324,West Virginia University,COURSE,4.7,4.0,0.5
325,Universidad de los Andes,COURSE,4.9,4.0,1.0
326,University of Michigan,SPECIALIZATION,4.8,1.0,0.0
327,University of Virginia,COURSE,4.8,6.0,0.0
328,University of Illinois at Urbana-Champaign,COURSE,4.8,6.0,0.5
329,Johns Hopkins University,SPECIALIZATION,4.7,3.0,0.0
330,IESE Business School,SPECIALIZATION,4.8,6.0,0.0
331,Emory University,SPECIALIZATION,4.2,2.0,1.0
332,University of Pennsylvania,SPECIALIZATION,4.8,8.0,0.0
333,Imperial College London,SPECIALIZATION,4.8,3.0,0.0
334,Google Cloud,SPECIALIZATION,4.6,2.0,0.0
335,The University of Tokyo,COURSE,4.8,5.0,0.0
336,The Hong Kong University of Science and Technology,COURSE,4.7,4.0,1.0
337,The Hong Kong University of Science and Technology,COURSE,4.8,8.0,1.0
